실험 4 시작
움직임 감지됨
중력: 9.81 m/s², 총가속도: 9.45 m/s², 고도: 35.91 m
중력: 9.81 m/s², 총가속도: 9.42 m/s², 고도: 35.91 m
중력: 9.81 m/s², 총가속도: 9.77 m/s², 고도: 35.91 m
중력: 9.81 m/s², 총가속도: 10.25 m/s², 고도: 35.91 m
중력: 9.81 m/s², 총가속도: 10.88 m/s², 고도: 35.91 m
중력: 9.81 m/s², 총가속도: 10.93 m/s², 고도: 35.91 m
중력: 9.81 m/s², 총가속도: 10.24 m/s², 고도: 35.91 m
중력: 9.81 m/s², 총가속도: 9.48 m/s², 고도: 36.11 m
중력: 9.81 m/s², 총가속도: 9.45 m/s², 고도: 36.11 m
중력: 9.81 m/s², 총가속도: 10.21 m/s², 고도: 36.11 m
중력: 9.81 m/s², 총가속도: 10.03 m/s², 고도: 36.11 m
중력: 9.81 m/s², 총가속도: 9.48 m/s², 고도: 36.11 m
중력: 9.81 m/s², 총가속도: 9.12 m/s², 고도: 36.11 m
중력: 9.81 m/s², 총가속도: 8.94 m/s², 고도: 36.11 m
중력: 9.81 m/s², 총가속도: 8.97 m/s², 고도: 36.11 m
중력: 9.81 m/s², 총가속도: 9.28 m/s², 고도: 36.11 m
중력: 9.81 m/s², 총가속도: 9.45 m/s², 고도: 36.16 m
중력: 9.81 m/s², 총가속도: 9.12 m/s², 고도: 36.16 m
중력: 9.81 m/s², 총가속도: 9.45 m/s², 고도: 36.16 m
중력: 9.81 m/s², 총가속도: 9.78 m/s², 고도: 36.16 m
중력: 9.81 m/s², 총가속도: 10.05 m/s², 고도: 36.16 m
중력: 9.81 m/s², 총가속도: 10.27 m/s², 고도: 36.16 m
중력: 9.81 m/s², 총가속도: 10.40 m/s², 고도: 36.16 m
중력: 9.81 m/s², 총가속도: 10.06 m/s², 고도: 36.16 m
중력: 9.81 m/s², 총가속도: 9.54 m/s², 고도: 36.16 m
중력: 9.81 m/s², 총가속도: 9.53 m/s², 고도: 36.32 m
중력: 9.81 m/s², 총가속도: 10.58 m/s², 고도: 36.32 m
중력: 9.81 m/s², 총가속도: 11.15 m/s², 고도: 36.32 m
중력: 9.81 m/s², 총가속도: 10.72 m/s², 고도: 36.32 m
중력: 9.81 m/s², 총가속도: 10.82 m/s², 고도: 36.32 m
중력: 9.81 m/s², 총가속도: 10.10 m/s², 고도: 36.32 m
중력: 9.81 m/s², 총가속도: 9.93 m/s², 고도: 36.32 m
중력: 9.81 m/s², 총가속도: 10.24 m/s², 고도: 36.32 m
중력: 9.81 m/s², 총가속도: 9.44 m/s², 고도: 36.32 m
중력: 9.81 m/s², 총가속도: 9.18 m/s², 고도: 36.35 m
중력: 9.81 m/s², 총가속도: 9.61 m/s², 고도: 36.35 m
중력: 9.81 m/s², 총가속도: 9.36 m/s², 고도: 36.35 m
중력: 9.81 m/s², 총가속도: 9.35 m/s², 고도: 36.35 m
중력: 9.81 m/s², 총가속도: 9.22 m/s², 고도: 36.35 m
중력: 9.81 m/s², 총가속도: 9.37 m/s², 고도: 36.35 m
중력: 9.81 m/s², 총가속도: 8.65 m/s², 고도: 36.35 m
중력: 9.81 m/s², 총가속도: 10.48 m/s², 고도: 36.35 m
중력: 9.81 m/s², 총가속도: 10.82 m/s², 고도: 36.35 m
중력: 9.81 m/s², 총가속도: 9.60 m/s², 고도: 36.27 m
중력: 9.81 m/s², 총가속도: 9.38 m/s², 고도: 36.27 m
중력: 9.81 m/s², 총가속도: 9.91 m/s², 고도: 36.27 m
중력: 9.81 m/s², 총가속도: 9.75 m/s², 고도: 36.27 m
중력: 9.81 m/s², 총가속도: 10.09 m/s², 고도: 36.27 m
중력: 9.81 m/s², 총가속도: 10.16 m/s², 고도: 36.27 m
중력: 9.81 m/s², 총가속도: 10.60 m/s², 고도: 36.27 m
중력: 9.81 m/s², 총가속도: 10.39 m/s², 고도: 36.27 m
중력: 9.81 m/s², 총가속도: 10.09 m/s², 고도: 36.27 m
중력: 9.81 m/s², 총가속도: 9.99 m/s², 고도: 36.33 m
중력: 9.81 m/s², 총가속도: 9.62 m/s², 고도: 36.33 m
중력: 9.81 m/s², 총가속도: 9.21 m/s², 고도: 36.33 m
중력: 9.81 m/s², 총가속도: 9.47 m/s², 고도: 36.33 m
중력: 9.81 m/s², 총가속도: 9.85 m/s², 고도: 36.33 m
중력: 9.81 m/s², 총가속도: 9.85 m/s², 고도: 36.33 m
중력: 9.81 m/s², 총가속도: 9.39 m/s², 고도: 36.33 m
중력: 9.81 m/s², 총가속도: 9.28 m/s², 고도: 36.33 m
중력: 9.81 m/s², 총가속도: 9.35 m/s², 고도: 36.33 m
중력: 9.81 m/s², 총가속도: 9.56 m/s², 고도: 36.41 m
중력: 9.81 m/s², 총가속도: 9.80 m/s², 고도: 36.41 m
중력: 9.81 m/s², 총가속도: 9.65 m/s², 고도: 36.41 m
