실험 0 시작
최초 고도 기록: 35.9085 m
움직임 감지됨
중력: 9.81 m/s², 총가속도: 9.73 m/s², 고도: 36.03 m
중력: 9.81 m/s², 총가속도: 9.73 m/s², 고도: 36.03 m
중력: 9.81 m/s², 총가속도: 9.72 m/s², 고도: 36.03 m
중력: 9.81 m/s², 총가속도: 9.71 m/s², 고도: 36.03 m
중력: 9.81 m/s², 총가속도: 9.71 m/s², 고도: 36.03 m
중력: 9.81 m/s², 총가속도: 9.71 m/s², 고도: 36.03 m
중력: 9.81 m/s², 총가속도: 9.70 m/s², 고도: 36.03 m
중력: 9.81 m/s², 총가속도: 9.73 m/s², 고도: 36.03 m
중력: 9.81 m/s², 총가속도: 9.76 m/s², 고도: 35.82 m
중력: 9.81 m/s², 총가속도: 9.74 m/s², 고도: 35.82 m
중력: 9.81 m/s², 총가속도: 9.68 m/s², 고도: 35.82 m
중력: 9.81 m/s², 총가속도: 9.71 m/s², 고도: 35.82 m
중력: 9.81 m/s², 총가속도: 9.69 m/s², 고도: 35.82 m
중력: 9.81 m/s², 총가속도: 9.66 m/s², 고도: 35.82 m
중력: 9.81 m/s², 총가속도: 9.68 m/s², 고도: 35.82 m
중력: 9.81 m/s², 총가속도: 9.72 m/s², 고도: 35.82 m
중력: 9.81 m/s², 총가속도: 9.78 m/s², 고도: 35.82 m
중력: 9.81 m/s², 총가속도: 9.82 m/s², 고도: 35.73 m
중력: 9.81 m/s², 총가속도: 9.86 m/s², 고도: 35.73 m
중력: 9.81 m/s², 총가속도: 9.83 m/s², 고도: 35.73 m
중력: 9.81 m/s², 총가속도: 9.84 m/s², 고도: 35.73 m
중력: 9.81 m/s², 총가속도: 9.81 m/s², 고도: 35.73 m
중력: 9.81 m/s², 총가속도: 9.81 m/s², 고도: 35.73 m
중력: 9.81 m/s², 총가속도: 9.80 m/s², 고도: 35.73 m
중력: 9.81 m/s², 총가속도: 9.80 m/s², 고도: 35.73 m
중력: 9.81 m/s², 총가속도: 9.76 m/s², 고도: 35.73 m
중력: 9.81 m/s², 총가속도: 9.72 m/s², 고도: 35.79 m
중력: 9.81 m/s², 총가속도: 9.72 m/s², 고도: 35.79 m
중력: 9.81 m/s², 총가속도: 9.70 m/s², 고도: 35.79 m
