실험 0 시작
최초 고도 기록: 34.983707 m
움직임 감지됨
중력: 9.81 m/s², 총가속도: 9.68 m/s², 고도: 35.04 m
중력: 9.81 m/s², 총가속도: 9.71 m/s², 고도: 35.04 m
중력: 9.81 m/s², 총가속도: 9.71 m/s², 고도: 35.04 m
중력: 9.81 m/s², 총가속도: 9.77 m/s², 고도: 35.04 m
중력: 9.81 m/s², 총가속도: 9.84 m/s², 고도: 35.04 m
중력: 9.81 m/s², 총가속도: 9.80 m/s², 고도: 35.05 m
중력: 9.81 m/s², 총가속도: 9.79 m/s², 고도: 35.05 m
중력: 9.81 m/s², 총가속도: 9.79 m/s², 고도: 35.05 m
중력: 9.81 m/s², 총가속도: 9.72 m/s², 고도: 35.05 m
중력: 9.81 m/s², 총가속도: 9.46 m/s², 고도: 35.05 m
중력: 9.81 m/s², 총가속도: 9.80 m/s², 고도: 35.05 m
중력: 9.81 m/s², 총가속도: 10.61 m/s², 고도: 35.05 m
중력: 9.81 m/s², 총가속도: 10.89 m/s², 고도: 35.05 m
중력: 9.81 m/s², 총가속도: 10.52 m/s², 고도: 35.05 m
중력: 9.81 m/s², 총가속도: 9.89 m/s², 고도: 35.03 m
중력: 9.81 m/s², 총가속도: 9.30 m/s², 고도: 35.03 m
중력: 9.81 m/s², 총가속도: 9.07 m/s², 고도: 35.03 m
중력: 9.81 m/s², 총가속도: 9.12 m/s², 고도: 35.03 m
중력: 9.81 m/s², 총가속도: 9.61 m/s², 고도: 35.03 m
중력: 9.81 m/s², 총가속도: 9.41 m/s², 고도: 35.03 m
중력: 9.81 m/s², 총가속도: 9.47 m/s², 고도: 35.03 m
중력: 9.81 m/s², 총가속도: 9.37 m/s², 고도: 35.03 m
중력: 9.81 m/s², 총가속도: 9.36 m/s², 고도: 35.03 m
중력: 9.81 m/s², 총가속도: 9.57 m/s², 고도: 35.08 m
중력: 9.81 m/s², 총가속도: 9.65 m/s², 고도: 35.08 m
중력: 9.81 m/s², 총가속도: 9.81 m/s², 고도: 35.08 m
중력: 9.81 m/s², 총가속도: 10.18 m/s², 고도: 35.08 m
중력: 9.81 m/s², 총가속도: 10.40 m/s², 고도: 35.08 m
중력: 9.81 m/s², 총가속도: 10.25 m/s², 고도: 35.08 m
중력: 9.81 m/s², 총가속도: 10.19 m/s², 고도: 35.08 m
중력: 9.81 m/s², 총가속도: 10.47 m/s², 고도: 35.08 m
중력: 9.81 m/s², 총가속도: 10.08 m/s², 고도: 35.08 m
중력: 9.81 m/s², 총가속도: 10.15 m/s², 고도: 35.22 m
중력: 9.81 m/s², 총가속도: 9.91 m/s², 고도: 35.22 m
중력: 9.81 m/s², 총가속도: 9.62 m/s², 고도: 35.22 m
중력: 9.81 m/s², 총가속도: 9.21 m/s², 고도: 35.22 m
중력: 9.81 m/s², 총가속도: 9.19 m/s², 고도: 35.22 m
중력: 9.81 m/s², 총가속도: 8.98 m/s², 고도: 35.22 m
중력: 9.81 m/s², 총가속도: 8.92 m/s², 고도: 35.22 m
중력: 9.81 m/s², 총가속도: 8.72 m/s², 고도: 35.22 m
중력: 9.81 m/s², 총가속도: 9.03 m/s², 고도: 35.22 m
중력: 9.81 m/s², 총가속도: 9.41 m/s², 고도: 35.11 m
중력: 9.81 m/s², 총가속도: 9.58 m/s², 고도: 35.11 m
중력: 9.81 m/s², 총가속도: 9.83 m/s², 고도: 35.11 m
중력: 9.81 m/s², 총가속도: 9.99 m/s², 고도: 35.11 m
중력: 9.81 m/s², 총가속도: 9.91 m/s², 고도: 35.11 m
중력: 9.81 m/s², 총가속도: 9.95 m/s², 고도: 35.11 m
중력: 9.81 m/s², 총가속도: 10.03 m/s², 고도: 35.11 m
중력: 9.81 m/s², 총가속도: 9.73 m/s², 고도: 35.11 m
중력: 9.81 m/s², 총가속도: 9.27 m/s², 고도: 35.11 m
중력: 9.81 m/s², 총가속도: 8.97 m/s², 고도: 34.82 m
중력: 9.81 m/s², 총가속도: 9.53 m/s², 고도: 34.82 m
중력: 9.81 m/s², 총가속도: 9.45 m/s², 고도: 34.82 m
중력: 9.81 m/s², 총가속도: 10.40 m/s², 고도: 34.82 m
중력: 9.81 m/s², 총가속도: 9.84 m/s², 고도: 34.82 m
중력: 9.81 m/s², 총가속도: 9.98 m/s², 고도: 34.82 m
중력: 9.81 m/s², 총가속도: 10.47 m/s², 고도: 34.82 m
중력: 9.81 m/s², 총가속도: 10.58 m/s², 고도: 34.82 m
중력: 9.81 m/s², 총가속도: 10.53 m/s², 고도: 34.82 m
중력: 9.81 m/s², 총가속도: 10.54 m/s², 고도: 35.09 m
중력: 9.81 m/s², 총가속도: 10.32 m/s², 고도: 35.09 m
중력: 9.81 m/s², 총가속도: 10.04 m/s², 고도: 35.09 m
중력: 9.81 m/s², 총가속도: 9.81 m/s², 고도: 35.09 m
중력: 9.81 m/s², 총가속도: 9.51 m/s², 고도: 35.09 m
중력: 9.81 m/s², 총가속도: 9.44 m/s², 고도: 35.09 m
중력: 9.81 m/s², 총가속도: 9.39 m/s², 고도: 35.09 m
중력: 9.81 m/s², 총가속도: 9.23 m/s², 고도: 35.09 m
중력: 9.81 m/s², 총가속도: 9.15 m/s², 고도: 35.09 m
중력: 9.81 m/s², 총가속도: 8.81 m/s², 고도: 35.23 m
중력: 9.81 m/s², 총가속도: 8.48 m/s², 고도: 35.23 m
중력: 9.81 m/s², 총가속도: 8.73 m/s², 고도: 35.23 m
중력: 9.81 m/s², 총가속도: 9.11 m/s², 고도: 35.23 m
중력: 9.81 m/s², 총가속도: 9.20 m/s², 고도: 35.23 m
중력: 9.81 m/s², 총가속도: 9.21 m/s², 고도: 35.23 m
중력: 9.81 m/s², 총가속도: 9.16 m/s², 고도: 35.23 m
중력: 9.81 m/s², 총가속도: 9.41 m/s², 고도: 35.23 m
중력: 9.81 m/s², 총가속도: 9.62 m/s², 고도: 35.23 m
중력: 9.81 m/s², 총가속도: 9.63 m/s², 고도: 35.18 m
중력: 9.81 m/s², 총가속도: 9.28 m/s², 고도: 35.18 m
중력: 9.81 m/s², 총가속도: 9.01 m/s², 고도: 35.18 m
중력: 9.81 m/s², 총가속도: 9.53 m/s², 고도: 35.18 m
중력: 9.81 m/s², 총가속도: 10.00 m/s², 고도: 35.18 m
중력: 9.81 m/s², 총가속도: 10.33 m/s², 고도: 35.18 m
중력: 9.81 m/s², 총가속도: 9.94 m/s², 고도: 35.18 m
중력: 9.81 m/s², 총가속도: 9.96 m/s², 고도: 35.18 m
중력: 9.81 m/s², 총가속도: 10.43 m/s², 고도: 35.18 m
중력: 9.81 m/s², 총가속도: 10.55 m/s², 고도: 35.09 m
중력: 9.81 m/s², 총가속도: 10.35 m/s², 고도: 35.09 m
